Temp,ET
299.289,4.64E-03
298.901,1.80E-02
305.052,4.42E-02
295.492,1.35E-02
295.829,3.95E-03
295.712,-2.32E-03
294.839,-6.21E-03
298.067,-8.51E-03
299.679,6.00E-03
301.503,8.32E-03
294.213,3.08E-02
296.659,6.31E-02
297.57,0.18339
308.496,0.107864
297.836,5.70E-02
296.224,0.170624
296.333,1.55E-02
298.827,-6.42E-04
299.387,4.32E-02
299.55,8.56E-03
297.808,4.12E-03
306.676,3.88E-02
299.142,9.49E-03
298.852,1.31E-02
302.587,4.71E-02
295.5,1.16E-03
295.307,3.34E-03
295.21,-1.47E-03
293.75,-3.13E-03
297.868,-1.49E-03
298.633,7.65E-03
301.486,1.04E-02
293.623,2.74E-02
296.569,6.37E-02
296.861,0.17064
307.668,0.134516
297.369,4.21E-02
297.332,9.19E-02
295.932,5.58E-03
296.573,1.14E-02
298.552,-1.59E-03
298.915,5.28E-02
298.65,1.20E-02
298.365,1.03E-03
298.79,6.75E-03
298.906,1.01E-02
305.076,3.66E-02
295.268,-1.36E-03
295.025,8.26E-03
294.898,-1.47E-03
292.703,-9.02E-03
297.527,-2.32E-02
297.336,6.47E-03
301.346,2.70E-02
293.001,3.46E-02
296.131,5.05E-02
293.681,0.142161
306.247,7.06E-02
296.786,2.27E-02
296.93,0.113779
296.279,6.54E-03
296.831,-6.19E-04
298.448,4.18E-02
298.048,1.05E-02
297.924,9.06E-04
297.598,-3.19E-02
298.744,1.12E-02
298.678,1.11E-02
304.586,4.50E-02
295.282,1.43E-03
295.319,7.74E-03
294.542,3.91E-03
292.627,1.15E-02
296.92,3.52E-02
297.668,3.26E-02
300.629,0.162582
292.586,7.99E-02
293.793,2.44E-02
292.655,6.42E-02
305.188,8.16E-03
295.933,-1.01E-03
296.739,4.52E-02
296.111,1.37E-02
297,1.10E-03
298.312,2.39E-02
296.808,3.15E-02
296.725,-6.25E-03
297.612,1.56E-02
298.638,7.56E-03
298.483,4.90E-02
304.188,-1.48E-03
295.092,8.15E-03
294.799,-2.41E-03
294.256,2.08E-02
293.412,7.97E-03
295.572,2.91E-02
297.107,2.34E-02
300.995,0.141851
292.511,7.72E-02
292.509,1.88E-02
292.471,3.88E-03
304.645,5.24E-04
294.692,4.28E-02
296.641,1.81E-02
295.838,2.11E-03
297.017,8.19E-02
298.147,4.32E-02
296.852,-6.71E-03
294.381,1.98E-02
298.613,6.26E-03
298.21,2.97E-03
298.553,1.62E-02
303.759,4.76E-02
294.873,1.22E-03
293.534,9.39E-03
294.331,-9.09E-04
291.491,3.77E-02
295.72,1.90E-02
297.329,4.69E-02
301.169,2.69E-02
292.433,0.146795
292.303,8.51E-02
292.119,3.40E-02
304.248,5.50E-03
293.68,-1.26E-03
296.463,5.06E-02
296.319,1.80E-02
296.029,7.53E-03
298.102,6.95E-02
296.776,7.29E-02
292.778,-8.11E-03
299.015,3.66E-02
298.224,3.94E-03
298.286,2.26E-02
303.953,5.07E-02
294.708,-4.85E-04
293.572,1.16E-02
294.397,-1.16E-03
290.225,2.64E-02
295.94,1.37E-02
298.571,4.76E-02
300.667,2.35E-02
292.817,0.172126
292.012,0.109535
291.065,2.25E-02
304.174,1.07E-02
293.782,-1.49E-03
296.119,6.45E-02
296.166,1.11E-02
295.272,2.22E-03
297.814,6.74E-02
296.796,7.89E-02
292.142,-8.42E-03
299.194,2.22E-02
298.211,2.33E-03
298.213,2.16E-02
303.949,8.85E-02
294.68,-1.58E-03
293.095,8.46E-03
294.176,-8.61E-03
290.116,2.14E-02
295.86,1.11E-02
298.114,6.65E-02
300.325,2.49E-02
293.168,0.144727
292.673,9.87E-02
291.213,-1.30E-03
304.725,-9.47E-03
293.211,1.75E-02
296.012,-2.59E-03
295.947,5.44E-02
294.83,9.21E-03
297.41,1.58E-03
294.303,4.95E-02
291.609,7.90E-02
299.377,-1.00E-02
298.295,3.46E-03
298.068,2.46E-02
303.578,-4.23E-03
294.223,6.33E-03
292.003,4.34E-03
294.092,2.61E-02
290.168,5.05E-03
295.628,4.50E-02
297.847,1.56E-02
300.099,0.146877
293.856,9.84E-02
295.811,2.02E-02
291.457,1.37E-02
304.502,-1.59E-03
292.442,6.08E-02
296.304,8.73E-03
295.857,7.99E-03
294.227,7.91E-02
297.087,7.61E-02
293.329,-5.02E-03
291.097,4.86E-02
298.668,-3.87E-03
298.591,9.23E-03
297.908,1.36E-02
303.442,-3.45E-03
298.895,9.02E-03
290.942,-8.96E-03
294.217,3.25E-02
290.078,3.11E-03
295.552,3.34E-02
296.669,2.44E-02
299.773,0.173256
294.564,0.128077
296.917,3.40E-02
290.21,2.62E-03
305.222,2.04E-02
292.342,4.42E-03
296.211,6.27E-02
295.837,1.11E-02
294.181,2.35E-02
295.616,9.21E-02
293.31,5.54E-02
290.962,-1.23E-03
298.023,2.80E-02
298.426,4.65E-03
297.489,2.92E-02
303.391,1.15E-02
301.269,2.42E-02
290.666,3.92E-03
294.19,2.21E-02
290.248,1.40E-02
295.697,9.80E-02
296.683,9.06E-02
299.575,8.88E-03
294.112,5.28E-03
296.873,3.18E-02
290.352,-0.31073
305.727,5.45E-02
292.762,1.01E-02
296.246,4.84E-03
295.83,4.37E-02
294.962,4.72E-02
293.926,-1.08E-02
292.336,1.91E-02
290.959,-3.69E-04
296.882,-8.90E-03
298.328,1.37E-02
297.085,0.10283
303.641,-0.160081
297.632,1.56E-02
291.925,3.74E-02
294.313,5.02E-03
290.012,2.69E-02
295.571,1.93E-02
296.361,9.52E-02
299.313,6.10E-02
295.665,4.15E-03
296.897,9.21E-03
290.764,2.59E-02
304.367,0.479663
292.654,4.82E-02
296.437,1.12E-02
295.871,-3.54E-02
294.253,5.08E-02
293.716,5.68E-02
291.697,-4.76E-02
293.763,3.70E-02
296.441,1.73E-03
298.283,1.21E-02
297.507,0.124233
303.292,-6.41E-03
296.857,1.69E-02
289.826,4.02E-02
294.26,4.94E-03
290.049,1.74E-02
295.414,1.79E-02
295.559,0.13158
299.014,6.50E-02
297.415,1.85E-02
296.17,3.90E-03
291.069,1.54E-02
303.645,6.18E-02
292.898,5.11E-02
296.294,6.76E-03
295.851,8.69E-03
294.531,2.01E-02
293.058,3.99E-02
290.436,7.87E-03
295.281,5.27E-02
296.808,4.97E-04
297.621,-8.68E-05
298.651,0.136775
303.361,2.37E-03
294.793,1.35E-02
289.676,5.48E-02
294.045,3.69E-03
291.464,8.89E-03
294.868,1.80E-02
296.33,7.14E-02
298.493,-9.07E-03
296.103,-3.88E-04
295.361,2.25E-02
291.112,6.29E-02
304.413,4.21E-03
293.178,4.02E-03
296.303,3.79E-02
295.774,5.39E-02
294.706,2.84E-03
293.006,5.25E-02
292.434,2.36E-04
295.514,5.81E-03
297.646,3.65E-02
297.876,7.14E-02
303.234,-1.91E-03
293.965,1.80E-02
292.5,3.17E-04
294.493,4.85E-02
292.76,5.87E-03
295.041,1.25E-02
296.7,2.14E-02
298.442,2.09E-02
297.211,0.120535
295.716,6.99E-04
291.732,2.52E-02
295.133,5.25E-02
296.34,2.52E-03
295.649,2.07E-02
294.837,2.40E-02
292.338,4.38E-02
290.367,5.14E-02
295.536,-5.89E-03
297.731,8.18E-02
300.653,2.77E-02
297.301,0.124714
302.076,0.169886
301.738,8.52E-02
303.356,2.88E-02
294.333,3.13E-02
295.526,-7.82E-04
295.322,-1.94E-03
294.101,3.47E-03
295.07,5.86E-02
298.85,7.63E-03
298.659,2.26E-02
296.201,2.19E-02
292.943,0.194577
295.718,8.55E-02
296.442,1.70E-04
295.979,3.29E-02
295.255,7.08E-02
292.319,1.43E-02
291.159,1.71E-02
295.038,0.125442
297.73,4.81E-02
300.364,-7.83E-03
297.367,7.31E-02
303.603,-1.90E-02
303.63,9.54E-02
294.369,8.19E-02
296.655,5.60E-02
296.274,1.15E-02
295.764,1.58E-02
297.376,1.62E-02
300.649,7.38E-02
298.89,1.12E-02
296.82,3.66E-02
296.379,4.76E-02
297.003,0.149448
296.428,0.145349
296.083,9.63E-04
296.09,-7.12E-02
295.611,5.07E-02
294.694,7.96E-02
296.348,1.96E-02
299.879,-7.48E-02
300.322,8.30E-02
297.528,5.04E-02
297.235,3.03E-03
308.236,0.101497
299.364,0.104533
294.526,6.94E-02
296.957,1.15E-02
297.278,7.13E-02
296.466,4.67E-02
298.658,0.108992
303.453,2.70E-02
298.959,7.11E-02
297.162,4.78E-02
298.383,0.1774
296.795,0.204016
296.112,2.68E-02
296.98,6.39E-03
297.442,6.79E-02
297.813,8.11E-02
298.157,4.99E-02
301.869,0.290904
300.371,2.70E-02
297.839,7.06E-02
297.875,1.71E-02
294.713,-0.118683
304.399,0.121979
294.654,0.124281
297.517,9.85E-02
298.138,2.66E-02
297.762,7.04E-02
299.371,0.120476
305.88,0.168486
299.386,4.75E-02
297.392,7.53E-02
299.203,6.68E-02
297.149,0.258573
296.384,0.171684
297.666,3.12E-02
298.771,5.92E-03
298.96,0.102916
299.614,0.181016
303.487,6.77E-02
301.077,7.64E-02
298.048,9.58E-02
297.744,2.62E-02
295.259,0.122108
293.585,0.146516
303.626,0.206391
303.757,0.127666
295.028,2.40E-02
298.605,0.145821
298.769,0.159925
298.436,0.140152
299.826,6.00E-02
306.129,0.120815
299.426,6.95E-02
297.612,0.240299
302.462,0.301083
300.819,2.53E-02
296.589,1.95E-02
296.76,8.20E-02
298.624,0.132001
299.808,0.161373
299.94,9.65E-02
301.272,7.10E-02
304.872,0.128197
300.608,3.20E-02
298.132,0.178923
300.172,0.203615
304.048,0.164393
299.573,0.228748
295.482,0.156598
299.356,8.65E-02
299.399,0.17481
299.718,0.170109
299.681,0.161031
308.238,6.24E-02
299.715,0.243376
298.186,2.75E-02
300.883,0.28042
303.778,0.315199
296.936,8.16E-03
301.048,2.65E-02
301.258,0.119127
302.654,0.145107
306.142,0.164759
300.726,0.124175
298.199,0.228599
299.181,0.179169
294.669,5.24E-02
295.479,0.206995
296.825,0.151512
295.574,0.289121
299.913,0.232957
300.112,0.13697
311.334,0.195982
299.967,0.217619
298.207,0.205832
302.244,0.108817
305.971,0.344677
297.392,6.29E-02
299.979,0.263384
302.133,0.366064
302.505,0.119659
303.852,3.08E-02
307.806,1.41E-02
300.305,0.115141
298.399,0.148223
298.531,0.243453
296.993,0.171307
295.078,0.180047
295.767,0.264321
297.319,0.142866
307.255,0.247796
301.619,0.1827
297.034,0.347938
295.87,0.291461
300.679,0.216213
300.938,0.241026
301.335,0.231975
300.709,0.366598
311.283,0.163735
300.176,0.372984
298.982,0.281118
301.94,0.366603
307.675,0.223868
297.532,4.03E-03
300.819,2.72E-02
303.148,0.150731
302.813,0.216088
305.142,0.288152
300.284,0.225247
298.583,0.167198
299.331,0.315597
297.056,0.20057
301.619,0.232603
303.563,0.269402
297.314,0.429079
296.632,0.355957
301.387,0.317536
301.892,0.311211
301.452,0.284217
301.554,0.346305
311.398,0.303414
299.811,0.283486
300.432,0.158823
302.34,0.380302
308.98,0.323469
300.616,0.219409
298.091,2.52E-02
302.339,0.188505
304.709,0.234443
303.051,0.307714
306.24,0.221726
308.734,0.216549
300.506,0.106751
298.687,9.09E-02
299.643,0.256959
304.069,0.3457
297.484,0.376189
297.059,0.402331
301.639,0.410521
301.961,0.402413
301.823,0.295837
302.728,0.393513
311.29,0.308419
300.456,0.126812
300.526,0.191848
299.699,0.254464
302.775,0.485862
310.624,0.285608
298.672,0.267286
298.603,0.113411
303.696,0.142546
306.211,0.130959
304.078,0.430205
307.056,0.209247
309.617,0.311422
301.188,0.136779
300.168,0.247274
303.785,0.3662
297.187,0.438462
296.886,0.438812
302.179,0.4355
302.388,0.358309
302.906,0.410687
303.344,0.32911
313.133,0.172034
302.238,0.300963
300.597,0.490408
300.173,0.354725
304.711,0.129688
311.038,0.148652
298.017,0.19974
298.509,0.49943
304.262,0.255813
306.88,0.297789
304.672,0.146462
308.083,0.494749
310.154,0.133594
301.716,0.159882
300.547,0.131792
305.167,0.320414
296.967,0.418133
296.622,0.497954
302.016,0.402519
302.931,0.362292
303.86,0.398749
303.821,0.291049
313.334,0.163293
303.292,0.265425
300.599,0.49838
300.464,0.288873
305.81,2.93E-02
310.414,0.238065
298.293,0.187984
298.532,0.411299
305.119,0.294184
307.024,0.180523
305.728,0.473321
308.537,0.491544
310.85,0.136529
302.465,0.3038
301.455,0.360816
304.116,0.463188
297.338,0.399234
296.909,0.46626
302.332,0.341702
303.105,0.432064
302.996,0.21973
304.478,0.174798
313.532,0.321509
304.252,0.444466
300.639,0.338571
300.63,9.98E-02
307.532,0.234389
309.983,0.236597
298.752,0.396294
298.495,0.365824
305.723,0.322381
307.964,0.175553
307.469,0.373175
309.246,0.157076
311.508,0.301115
302.628,0.47098
301.927,0.248186
305.158,0.37663
297.815,0.348015
297.156,0.477208
301.687,0.466732
303.44,0.389423
303.415,0.402494
305.389,0.218313
313.657,0.212357
304.71,0.197745
300.764,0.485253
301.045,0.42139
307.988,0.313408
310.559,2.69E-02
299.075,0.250587
299.161,0.207531
306.442,0.210492
308.696,0.382875
308.202,0.357397
309.226,0.150488
312.103,0.442143
303.387,0.408189
302.801,0.329376
305.128,0.402187
298.191,0.33699
297.335,0.416933
301.674,0.471637
303.657,0.284661
303.803,0.394385
306.202,0.258506
313.127,0.250893
305.687,0.497699
300.796,0.472931
301.639,0.329262
309.947,4.77E-02
310.941,0.269646
299.186,0.342235
299.556,0.107348
306.709,0.231677
308.443,0.307561
308.724,0.148803
309.598,0.147337
311.976,0.449974
303.201,0.449359
302.802,0.288577
301.417,0.406698
298.835,0.368622
297.357,0.389936
301.994,0.428896
303.412,0.430534
303.932,0.316618
305.698,0.410547
313.565,0.329594
305.997,0.309843
300.688,0.447981
302.543,0.328733
309.484,1.60E-02
310.617,0.250896
299.671,0.282394
299.714,0.188394
307.146,0.310102
308.435,0.277465
308.897,0.107691
309.266,0.226709
312.194,0.481828
303.292,0.281135
302.797,6.15E-02
297.426,0.41176
298.799,0.335465
297.309,0.461163
302.627,0.456033
302.966,0.440204
303.965,0.291109
304.876,0.384595
314.127,0.206173
305.968,0.316057
300.912,0.335183
303.266,0.487891
310.603,0.333189
310.126,0.344277
299.491,-1.79E-02
299.338,0.2909
307.147,0.270451
308.89,0.190777
308.919,0.363667
308.239,0.276484
311.845,8.47E-02
303.522,0.193629
303.283,0.304388
297.389,0.340223
298.536,0.459014
297.468,0.471429
302.521,0.387736
302.339,0.398137
304.255,0.194193
304.756,0.374284
313.362,0.147054
306.226,0.34513
300.796,0.447564
302.562,0.314886
312.185,0.496065
309.838,0.350039
299.604,0.344363
299.702,1.49E-02
307.245,0.200455
308.793,0.276757
308.473,8.86E-02
307.785,0.453313
311.609,0.261212
302.434,0.320272
303.134,0.246839
298.835,0.233946
298.116,0.322928
297.568,0.452832
302.381,0.421016
301.936,0.368494
304.223,0.343096
304.704,0.177266
314.081,0.303197
306.316,0.1786
301.001,0.327865
302.3,0.446978
312.248,0.297195
309.932,0.452768
299.437,0.359731
299.628,0.282009
307.185,4.06E-02
309.428,0.179101
308.585,0.143301
307.576,9.89E-02
311.551,0.24305
302.481,0.45261
302.649,0.12323
297.674,0.221601
298.102,0.281468
297.519,0.369252
301.739,0.377651
301.9,0.343095
304.115,0.310626
304.544,0.189314
315.12,0.292385
305.475,0.125014
300.818,0.279261
302.188,0.327988
313.366,0.404414
299.361,0.343716
298.863,0.257021
307.436,6.72E-02
308.9,0.157326
308.124,0.287487
308.249,-1.09E-02
311.713,0.1644
301.792,0.109598
298.922,2.10E-03
301.584,0.360008
303.003,9.81E-02
297.303,0.233734
297.958,0.230452
297.24,0.320031
301.43,0.298394
301.76,0.28343
303.142,0.286361
304.214,0.282036
315.074,0.242911
304.654,4.95E-02
300.288,0.235176
301.987,0.298504
313.964,0.283527
299.307,0.391001
298.891,0.270423
307.584,0.137804
307.94,7.71E-02
307.982,0.126794
308.957,0.272717
311.643,7.60E-02
300.873,0.344201
300.137,0.221965
302.696,0.194449
297.93,0.266561
297.215,0.229432
301.377,0.235529
301.659,0.198816
302.732,0.291597
304.451,0.210942
313.681,1.12E-02
304.223,0.232849
299.903,0.350773
301.695,0.435653
314.728,0.287006
299.176,0.228354
298.655,0.117425
306.899,1.25E-02
307.838,0.133736
307.916,0.252846
309.625,6.24E-02
311.75,0.266127
301.106,0.161904
298.702,6.06E-02
304.273,0.223337
302.294,0.174023
302.336,0.163867
297.71,0.211939
297.205,0.207715
301.083,0.164054
301.179,0.151114
302.355,7.98E-02
304.236,0.185746
312.944,1.10E-02
303.269,0.213597
299.529,0.220062
301.024,0.338146
316.401,0.223616
298.674,0.170106
298.232,8.36E-02
306.136,1.07E-02
307.018,8.70E-02
307.456,0.187581
308.556,5.23E-02
311.414,0.171906
300.753,4.44E-02
301.889,0.162837
304.538,0.181224
297.764,9.54E-02
296.716,0.169594
301.104,0.141804
302.043,0.132669
303.749,0.114294
312.437,8.69E-02
303.119,0.131673
299.094,2.55E-02
300.224,0.200622
315.982,0.162511
298.267,0.252426
297.834,0.226366
305.034,9.31E-02
306.539,4.67E-02
308.467,-1.47E-02
307.236,4.34E-02
311.085,0.145877
299.873,4.03E-02
298.367,0.138261
297.606,4.56E-02
300.406,0.128662
297.407,7.78E-02
296.55,0.123488
301.364,0.101715
300.699,6.83E-02
301.425,7.49E-02
303.809,5.88E-02
311.601,8.51E-02
303.074,1.56E-02
298.873,0.157255
300.167,0.157652
315.187,0.258563
297.706,0.164272
297.251,3.98E-02
303.909,-1.22E-02
306.332,1.85E-02
307.522,0.124432
306.613,1.70E-02
310.794,0.116566
299.588,7.91E-02
298.229,3.92E-02
297.059,5.02E-03
299.826,8.56E-02
299.926,9.66E-02
297.094,5.14E-02
296.355,0.11371
301.059,5.99E-02
300.148,2.88E-02
300.604,8.10E-02
303.786,5.88E-02
311.608,6.02E-02
302.786,4.41E-03
298.225,4.68E-02
300.094,0.186316
313.839,0.259421
297.144,0.110877
297.083,0.175206
303.236,5.29E-03
305.55,-2.26E-03
306.065,3.85E-03
305.352,5.23E-02
310.548,5.14E-03
299.433,8.28E-02
297.924,5.33E-02
299.671,4.64E-02
299.005,6.61E-02
296.833,4.62E-02
296.275,7.52E-02
300.285,2.55E-02
299.804,2.72E-03
300.024,2.44E-02
303.117,4.52E-02
311.645,3.64E-02
302.237,-1.48E-03
297.884,4.27E-02
299.386,0.188241
311.372,0.126831
296.21,0.110868
296.643,-4.83E-03
302.326,-1.37E-02
304.093,-6.27E-03
304.891,1.07E-02
304.234,6.82E-04
307.66,6.51E-02
299.129,3.48E-02
297.969,3.67E-02
299.498,4.02E-02
298.733,4.93E-02
305.256,3.34E-02
296.572,3.85E-02
296.122,1.02E-02
299.43,-2.69E-03
299.453,6.06E-05
299.657,1.97E-02
302.906,2.09E-02
309.455,-3.34E-03
301.185,2.69E-02
297.719,9.04E-02
299.044,0.130056
309.054,6.89E-02
295.808,-7.62E-02
296.823,-3.13E-03
301.554,-2.79E-03
302.551,-9.67E-03
304.029,5.42E-03
303.193,7.15E-04
306.761,7.70E-02
299.031,1.02E-02
303.745,1.78E-02
296.238,4.38E-02
296.063,2.71E-02
298.647,2.76E-02
299.372,2.48E-03
299.392,-6.75E-03
302.154,-2.26E-03
308.238,2.10E-02
300.148,7.74E-03
297.532,1.71E-03
298.866,2.66E-02
307.011,9.10E-02
297.988,0.142802
295.933,7.51E-02
296.82,-2.61E-03
300.832,-2.77E-03
301.648,-1.07E-02
303.12,5.07E-03
302.476,-3.37E-03
306.536,8.24E-02
298.951,1.36E-02
297.962,2.71E-02
299.148,1.30E-02
298.528,4.21E-02
303.654,2.10E-02
296.072,2.04E-02
296.015,9.17E-03
297.82,-2.02E-03
299.246,-2.55E-03
299.191,7.02E-02
301.659,1.46E-02
306.199,-5.65E-03
300.268,2.39E-02
297.539,7.39E-02
298.698,9.20E-02
306.961,8.32E-02
298.193,0.143982
296.309,-6.76E-03
296.633,-5.92E-03
300.242,-6.96E-03
301.144,1.22E-02
302.249,5.51E-03
301.797,4.33E-02
306.688,7.86E-03
298.708,2.22E-02
298.714,4.55E-02
305.203,2.25E-02
295.883,1.16E-02
295.982,7.49E-03
297.151,-6.08E-03
299.016,3.64E-04
298.953,5.20E-02
300.369,6.88E-05
302.933,-2.03E-03
297.609,1.74E-02
297.467,3.69E-02
298.281,0.228778
307.549,6.03E-02
298.133,0.125181
296.403,3.47E-03
296.614,-1.64E-02
299.772,-3.89E-03
300.647,1.09E-02
301.8,-2.31E-03
300.54,5.86E-02
306.864,1.85E-02
298.891,2.08E-02
298.915,5.12E-02
295.701,1.86E-02
295.927,9.52E-03
296.53,5.42E-04
298.339,-6.15E-03
298.701,-4.47E-03
298.745,2.09E-02
302.226,2.10E-04
297.103,1.00E-02
296.987,2.89E-02
297.901,4.13E-02
308.273,0.166627
298.044,6.29E-02
296.336,0.101263
296.524,-1.84E-03
299.409,-4.39E-03
300.013,1.40E-02
300.933,-2.85E-03
299.265,4.13E-02
307.029,1.14E-02
298.562,2.51E-02
299.254,2.43E-02
298.967,5.22E-02
297.465,1.24E-02
295.612,4.77E-03
295.789,-2.74E-03
296.099,-6.57E-03
296.69,-9.31E-03
298.416,6.30E-02
298.422,1.27E-02
302.308,2.12E-02
296.106,3.77E-02
296.743,0.14463
297.988,7.45E-02
308.186,9.11E-02
297.904,2.31E-03
296.243,1.09E-02
296.438,-8.44E-04
299.111,7.01E-02
299.675,8.85E-03
300.361,3.35E-03
298.451,4.89E-02
306.966,3.35E-03
